mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_depth,param_iterations,param_l2_leaf_reg,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
249.51293071111044,3.1022571812895223,0.17867016792297363,0.029408910494522118,8,500,5,0.03,"{'depth': 8, 'iterations': 500, 'l2_leaf_reg': 5, 'learning_rate': 0.03}",0.7530533764582876,0.8850114726473078,0.9819786607871754,0.8733478366309236,0.09382155670955922,26,0.999966021776266,0.9997210676535305,0.9996102497865813,0.9997657797387927,0.00014864455385790005
250.02908420562744,3.591718586900668,0.15633575121561685,0.06290135938177108,8,500,5,0.05,"{'depth': 8, 'iterations': 500, 'l2_leaf_reg': 5, 'learning_rate': 0.05}",0.7584143850918654,0.8877750348443354,0.985547040518921,0.8772454868183739,0.09302495839490123,9,0.9999988896005316,0.9999737945725451,0.9999360409906184,0.999969575054565,2.5830733516420836e-05
255.48933426539102,2.3669876646283337,0.15600291887919107,0.049399468569593784,8,500,5,0.1,"{'depth': 8, 'iterations': 500, 'l2_leaf_reg': 5, 'learning_rate': 0.1}",0.7560434601468748,0.8845619829424874,0.9855239442099772,0.8753764624331133,0.0939098982419853,18,1.0,1.0,1.0,1.0,0.0
403.79938737551373,8.033183158737076,0.17392841974894205,0.07279889973028178,8,800,1,0.03,"{'depth': 8, 'iterations': 800, 'l2_leaf_reg': 1, 'learning_rate': 0.03}",0.7561047541975321,0.890766895172072,0.9901272162462991,0.8789996218719677,0.0959009201434173,5,1.0,1.0,0.9999995558402126,0.9999998519467376,2.0937893173105468e-07
396.49699632326764,3.4136404998588965,0.20150049527486166,0.038895424389951916,8,800,1,0.05,"{'depth': 8, 'iterations': 800, 'l2_leaf_reg': 1, 'learning_rate': 0.05}",0.764016128330199,0.8929139635842273,0.9892451149085786,0.882058402274335,0.09226919495799808,1,1.0,1.0,1.0,1.0,0.0
394.02635224660236,3.8251718368725345,0.17633565266927084,0.0572537159284799,8,800,1,0.1,"{'depth': 8, 'iterations': 800, 'l2_leaf_reg': 1, 'learning_rate': 0.1}",0.7563597019154835,0.8887228718305868,0.9894760779980118,0.8781862172480274,0.09546055735854757,7,1.0,1.0,1.0,1.0,0.0
407.7689576943715,3.960290582812664,0.2193315029144287,0.006945356310761762,8,800,3,0.03,"{'depth': 8, 'iterations': 800, 'l2_leaf_reg': 3, 'learning_rate': 0.03}",0.7564369857184863,0.89281891338973,0.987850453176231,0.8790354507614824,0.09497556216108925,4,0.9999995558402126,0.9999911168042526,0.9999706854540336,0.9999871193661662,1.2120490445861236e-05
404.5659520626068,7.6217371462237855,0.21293743451436362,0.048122166226829716,8,800,3,0.05,"{'depth': 8, 'iterations': 800, 'l2_leaf_reg': 3, 'learning_rate': 0.05}",0.7556037419573767,0.8892256607098916,0.988699686689686,0.8778430297856513,0.09550079607950938,8,1.0,1.0,1.0,1.0,0.0
404.12739610671997,4.845280041128977,0.17995270093282065,0.04449014759341012,8,800,3,0.1,"{'depth': 8, 'iterations': 800, 'l2_leaf_reg': 3, 'learning_rate': 0.1}",0.7556916855952762,0.8906976062452421,0.9896084376146488,0.878665909818389,0.09587433792210899,6,1.0,1.0,1.0,1.0,0.0
409.5973308086395,6.420257870243338,0.21433091163635254,0.04993234229364562,8,800,5,0.03,"{'depth': 8, 'iterations': 800, 'l2_leaf_reg': 5, 'learning_rate': 0.03}",0.7557618628416811,0.886757020611679,0.9868271090261264,0.8764486641598288,0.09461319026479473,14,0.9999986675206379,0.9999724620931829,0.9999329318721069,0.9999680204953093,2.7019618991932624e-05
404.51897660891217,8.589188060752601,0.21799961725870767,0.05685949786708878,8,800,5,0.05,"{'depth': 8, 'iterations': 800, 'l2_leaf_reg': 5, 'learning_rate': 0.05}",0.7606245241938279,0.8885283298437178,0.9888533659761168,0.8793354066712208,0.09340051189246894,3,1.0,1.0,0.9999986675206379,0.9999995558402127,6.281367951408276e-07
321.4706891377767,39.90607987956753,0.054986794789632164,0.026291572801561514,8,800,5,0.1,"{'depth': 8, 'iterations': 800, 'l2_leaf_reg': 5, 'learning_rate': 0.1}",0.7589935694545984,0.8844225167692529,0.9868972862725311,0.8767711241654608,0.09319847599412108,10,1.0,1.0,1.0,1.0,0.0
